hypothesis,coin,feature,month,period,monthly_ic
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-06-30,train,0.024196978217707516
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-07-31,train,0.07018936674188996
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-08-31,train,-0.08222785144889691
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-09-30,train,-0.03133259282879553
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-10-31,train,0.04107286354964433
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-11-30,train,-0.09189077662481193
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2023-12-31,train,-0.08930271518180649
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-01-31,train,-0.041791342981356915
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-02-29,train,0.10688946258572408
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-02-29,val,0.0368959140459487
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-03-31,val,-0.011558076861988488
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-04-30,val,0.06287810079096141
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-05-31,val,-0.1465553094092341
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-06-30,val,0.052193650990079464
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-07-31,val,-0.050385240115846726
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-08-31,val,0.09077437042929916
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-09-30,val,0.108519157254539
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-09-30,test,0.013786277312760645
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-10-31,test,0.008110824040087025
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-11-30,test,0.07130946789224288
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2024-12-31,test,0.07859088633036145
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-01-31,test,0.07616521110244234
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-01-31,holdout,0.0835123306610732
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-02-28,holdout,0.04732924075401696
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.09673117962883507
H2_engagement_quality,SOL,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.0974724197959609
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-01-31,train,0.030549362763115845
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-02-28,train,-0.01713534035618874
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-03-31,train,0.007959274654912729
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-04-30,train,-0.006386556280440372
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-05-31,train,0.03219014167952064
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-06-30,train,0.010067950074847818
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-07-31,train,-0.020612614748040894
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-08-31,train,-0.12239956798969054
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-09-30,train,0.11381886863349001
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2023-10-31,train,-0.07397456418553976
