hypothesis,coin,feature,date,period,rolling_ic
H1_visibility,BTC,musk_max_views_8h_log,2023-05-25 00:00:00,train,0.00031278438188337814
H1_visibility,BTC,musk_max_views_8h_log,2023-05-26 00:00:00,train,-0.030485526706836297
H1_visibility,BTC,musk_max_views_8h_log,2023-05-27 00:00:00,train,-0.04707732278043281
H1_visibility,BTC,musk_max_views_8h_log,2023-05-28 00:00:00,train,-0.08717719635158352
H1_visibility,BTC,musk_max_views_8h_log,2023-05-29 00:00:00,train,-0.1025152420392897
H1_visibility,BTC,musk_max_views_8h_log,2023-05-30 00:00:00,train,-0.0855448721444537
H1_visibility,BTC,musk_max_views_8h_log,2023-05-31 00:00:00,train,-0.028852417683928485
H1_visibility,BTC,musk_max_views_8h_log,2023-06-01 00:00:00,train,-0.0275310230735318
H1_visibility,BTC,musk_max_views_8h_log,2023-06-02 00:00:00,train,-0.0015069966957138236
H1_visibility,BTC,musk_max_views_8h_log,2023-06-03 00:00:00,train,0.021406728852175025
H1_visibility,BTC,musk_max_views_8h_log,2023-06-04 00:00:00,train,0.03918010207624441
H1_visibility,BTC,musk_max_views_8h_log,2023-06-05 00:00:00,train,0.045469090243782144
H1_visibility,BTC,musk_max_views_8h_log,2023-06-06 00:00:00,train,0.07747888950072197
H1_visibility,BTC,musk_max_views_8h_log,2023-06-07 00:00:00,train,0.10512527970899053
H1_visibility,BTC,musk_max_views_8h_log,2023-06-08 00:00:00,train,0.12587583681654746
H1_visibility,BTC,musk_max_views_8h_log,2023-06-09 00:00:00,train,0.1206971698989855
H1_visibility,BTC,musk_max_views_8h_log,2023-06-10 00:00:00,train,0.13984385469042362
H1_visibility,BTC,musk_max_views_8h_log,2023-06-11 00:00:00,train,0.09858764265426789
H1_visibility,BTC,musk_max_views_8h_log,2023-06-12 00:00:00,train,0.08573031127688593
H1_visibility,BTC,musk_max_views_8h_log,2023-06-13 00:00:00,train,0.08257121366303558
H1_visibility,BTC,musk_max_views_8h_log,2023-06-14 00:00:00,train,0.08161042118830972
H1_visibility,BTC,musk_max_views_8h_log,2023-06-15 00:00:00,train,0.08792511229589402
H1_visibility,BTC,musk_max_views_8h_log,2023-06-16 00:00:00,train,0.07438102059793357
H1_visibility,BTC,musk_max_views_8h_log,2023-06-17 00:00:00,train,0.08748349289734943
H1_visibility,BTC,musk_max_views_8h_log,2023-06-18 00:00:00,train,0.07381155591103379
H1_visibility,BTC,musk_max_views_8h_log,2023-06-19 00:00:00,train,0.07898290589817857
H1_visibility,BTC,musk_max_views_8h_log,2023-06-20 00:00:00,train,0.08741448935739579
H1_visibility,BTC,musk_max_views_8h_log,2023-06-21 00:00:00,train,0.06212383214095227
H1_visibility,BTC,musk_max_views_8h_log,2023-06-22 00:00:00,train,0.09760561357953274
H1_visibility,BTC,musk_max_views_8h_log,2023-06-23 00:00:00,train,0.07837264225743973
H1_visibility,BTC,musk_max_views_8h_log,2023-06-24 00:00:00,train,0.06847314664987646
H1_visibility,BTC,musk_max_views_8h_log,2023-06-25 00:00:00,train,0.09311432708415011
H1_visibility,BTC,musk_max_views_8h_log,2023-06-26 00:00:00,train,0.10906592221373437
H1_visibility,BTC,musk_max_views_8h_log,2023-06-27 00:00:00,train,0.11985903934182711
H1_visibility,BTC,musk_max_views_8h_log,2023-06-28 00:00:00,train,0.11452063302752584
H1_visibility,BTC,musk_max_views_8h_log,2023-06-29 00:00:00,train,0.0952893607143117
H1_visibility,BTC,musk_max_views_8h_log,2023-06-30 00:00:00,train,0.058230823654983825
H1_visibility,BTC,musk_max_views_8h_log,2023-07-01 00:00:00,train,0.019596275489503812
H1_visibility,BTC,musk_max_views_8h_log,2023-07-02 00:00:00,train,0.0010899867987288904
H1_visibility,BTC,musk_max_views_8h_log,2023-07-03 00:00:00,train,-0.013530702139177493
