hypothesis,coin,feature,month,period,monthly_ic
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-03-31,holdout,0.044872739503403855
H2_engagement_quality,DOGE,musk_weighted_engagement_4h_log,2025-04-30,holdout,-0.06688186512993423
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-02-29,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-03-31,val,0.13027654236177316
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-04-30,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-05-31,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-06-30,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-07-31,val,-0.05485704526048366
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-08-31,val,0.057715719631813225
H3_coin_specific,BTC,musk_mentions_BTC_8h,2024-09-30,val,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-01-31,holdout,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-02-28,holdout,-0.037768875499051766
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-03-31,holdout,0.0
H3_coin_specific,BTC,musk_mentions_BTC_8h,2025-04-30,holdout,0.0
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-02-29,val,-0.13477479259410544
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-03-31,val,-0.15873826469574712
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-04-30,val,-0.014507739666298963
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-05-31,val,-0.07404910243811838
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-06-30,val,0.07757055977859885
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-07-31,val,-0.12492865552409144
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-08-31,val,0.05686251601699795
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2024-09-30,val,0.11114487009880374
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2025-01-31,holdout,0.09290824703766741
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2025-02-28,holdout,0.05017683301466208
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2025-03-31,holdout,-0.09424092423688162
H3_coin_specific,DOGE,musk_mentions_DOGE_8h,2025-04-30,holdout,-0.16587476010299324
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-02-29,val,-0.050756043547985734
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-03-31,val,0.03336412925534819
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-04-30,val,0.01713414731377623
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-05-31,val,0.16759448914220376
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-06-30,val,0.0030487895887053584
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-07-31,val,0.09531455651938155
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-08-31,val,-0.2501562940419405
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2024-09-30,val,0.0869916382265932
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2025-01-31,holdout,-0.2388326444617592
H4_accumulated_attention,BTC,musk_sum_views_24h_log,2025-02-28,holdout,-0.10343674324922082
