hypothesis,coin,feature,period,decile,avg_return,count
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,1,-108.77763120223415,205
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,2,42.022112878424046,198
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,3,30.600133908405326,200
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,4,-131.52879950594144,198
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,5,32.00045195906476,200
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,6,-137.93206189497022,203
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,7,-106.49876610482265,197
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,8,-215.80153727420316,200
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,9,10.441759075682436,215
H4_accumulated_attention,ETH,musk_sum_views_24h_log,holdout,10,-159.47693101398968,185
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,1,-27.038592126449696,508
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,2,-46.65441789442845,501
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,3,65.27645825402494,495
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,4,-32.44406460214999,510
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,5,54.86206730944814,496
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,6,-42.499910771556394,497
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,7,14.51785444744711,498
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,8,-33.26188784074273,503
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,9,107.57614084279268,496
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,val,10,-111.02293090133578,498
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,1,-20.643953057832213,203
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,2,51.53973684487808,212
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,3,-139.73475303669363,190
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,4,-78.13386254047629,203
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,5,-105.92480775519827,195
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,6,-15.70857734868198,200
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,7,-106.77559214363636,221
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,8,11.61577239491051,197
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,9,-91.84851001372577,183
H4_accumulated_attention,ETH,musk_max_engagement_24h_log,holdout,10,-250.31037413668054,197
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,1,35.404778855600945,503
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,2,-43.56105040298551,501
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,3,172.35370054010448,497
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,4,53.91725188400475,502
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,5,63.525567953349,498
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,6,23.87010379775707,502
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,7,65.2982228734319,502
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,8,7.291975248626904,496
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,9,-95.89043966350826,502
H4_accumulated_attention,SOL,musk_sum_views_24h_log,val,10,-62.37243951276376,499
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,1,-110.0962101537538,205
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,2,51.33063946833622,198
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,3,65.21481833542077,200
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,4,-107.18875287421832,198
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,5,62.145183045878056,200
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,6,-144.97790324702356,203
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,7,-37.96215348945857,197
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,8,-208.9069839580568,200
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,9,-94.33576127904432,215
H4_accumulated_attention,SOL,musk_sum_views_24h_log,holdout,10,-64.11253655326347,185
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,1,0.4884760302281163,508
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,2,19.346415718649173,501
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,3,157.85131029677183,495
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,4,41.17446882528946,510
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,5,69.95847623075394,496
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,6,-6.1155652609622,497
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,7,137.69413831331374,498
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,8,-101.57817876804683,503
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,9,27.073984316098908,496
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,val,10,-124.8546738969781,498
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,1,-43.87230450964977,203
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,2,175.8702644188317,212
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,3,-211.65828522048517,190
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,4,-27.638871460971064,203
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,5,68.32687284360674,195
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,6,126.594604626794,200
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,7,-163.33990927619186,221
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,8,-14.07122219067537,197
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,9,-100.26454245257774,183
H4_accumulated_attention,SOL,musk_max_engagement_24h_log,holdout,10,-421.15657293124985,197
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,1,-66.20884527445206,503
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,2,-146.54178046827874,501
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,3,114.99777909601958,497
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,4,6.217180865242998,502
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,5,201.61136796982004,498
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,6,63.10809832724478,502
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,7,113.98826309797104,502
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,8,73.91103007758112,496
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,9,-114.73584170899785,502
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,val,10,-3.311176531369655,499
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,1,-129.39325244465837,205
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,2,38.20668681799058,198
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,3,67.64004049643104,200
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,4,-157.19586794368232,198
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,5,14.600206682099104,200
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,6,-115.01428107329187,203
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,7,-128.56514358666985,197
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,8,-228.7492267916747,200
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,9,-16.32586609708175,215
H4_accumulated_attention,DOGE,musk_sum_views_24h_log,holdout,10,-135.01453292725654,185
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,1,-103.70057143902176,508
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,2,-97.85594934912295,501
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,3,110.14135717301406,495
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,4,-9.233415990120154,510
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,5,200.48861015101733,496
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,6,-77.12168454691358,497
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,7,223.57952755178044,498
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,8,-13.756093952459668,503
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,9,23.48989961939556,496
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,val,10,-10.086116519076253,498
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,1,-48.644056361303484,203
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,2,-9.358397063837618,212
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,3,-137.07872085026608,190
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,4,-109.34605217200091,203
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,5,143.2594810219142,195
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,6,39.4158528917216,200
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,7,-194.66716659408007,221
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,8,18.17024650670859,197
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,9,-41.2537983455786,183
H4_accumulated_attention,DOGE,musk_max_engagement_24h_log,holdout,10,-432.8768656705572,197
